"","titles","prices","years"
"283","Nissan March",1050000,"2013"
"284","Toyota Axio",2300000,"2014"
"285","Honda SPORT",2600000,"2014"
"286","Subaru Impreza",660000,"2003"
"287","Honda City",1200000,"2012"
"288",NA,NA,NA
"289","Nissan Frontier",3200000,"2013"
"290","Honda Fit",1295000,"2012"
"291","Toyota Voxy",2180000,"2011"
"292","Honda Fit",650000,"2005"
"293","Honda Fit",745000,"2006"
"294","Toyota Sienta",1200000,"2012"
"295","Nissan Tiida",640000,"2007"
"296","Toyota X",2350000,"2012"
"297","BMW X6",7900000,"2013"
"298","Nissan Note",780000,"2009"
"299",NA,NA,NA
"300","Toyota Axio",2280000,"2014"
"301","Suzuki Swift",1980000,"2016"
"302","BMW 30I",3300000,"2007"
"303","Suzuki Swift",1950000,"2015"
"304","Subaru G4",1950000,"2013"
"305","Toyota Axio",2090000,"2014"
"306","Toyota Wish",2520000,"2014"
"307","Honda Fit",2050000,"2015"
"308","Mitsubishi Pajero",2950000,"2011"
"309","Subaru Sport",1880000,"2013"
"310",NA,NA,NA
"311","Toyota Platana",2150000,"2012"
"312","Subaru Impreza",2350000,"2014"
"313","Nissan Bluebird",2350000,"2013"
"314","Nissan March",1270000,"2013"
"315","Toyota Stype",1700000,"2012"
"316","Honda Turbo",3700000,"2017"
"317","Mitsubishi Lancer",555000,"2008"
"318","Mercedes AMG",7e+06,"2015"
"319","Mitsubishi Galant",775000,"2007"
"320","Honda Crv",3200000,"2013"
"321",NA,NA,NA
"322","Honda Fit",1950000,"2015"
"323","BMW 325i",3199999,"2012"
"324","Subaru Impreza",1050000,"2010"
"325","Honda Fit",6e+05,"2006"
"326","Nissan LaFesta",449000,"2006"
"327","Nissan Xtrail",3500000,"2016"
"328","Toyota Hilux",7800000,"2018"
"329","Mazda Demio",230000,"2002"
"330","Honda EX",2900000,"2016"
"331","Toyota Harrier",620000,"1998"
"332",NA,NA,NA
"333","Honda CL7",1099000,"2007"
"334","Nissan wagon",970000,"2012"
"335","Daihatsu passo",7e+05,"2012"
"336","Toyota Voxy",1800000,"2008"
"337","Toyota wagon",3e+05,"1998"
"338","Toyota Vitz",1800000,"2014"
"339","Toyota Corolla",435000,"1996"
"340","Honda EXL",2280000,"2014"
"341","Honda EX",2350000,"2015"
"342","Suzuki Vitara",820000,"2005"
"343",NA,NA,NA
"344","Nissan Latio",840000,"2010"
"345","Lexus 300",5500000,"2014"
"346","Mazda Demio",1350000,"2013"
"347","Honda Civic",1250,"2007"
"348","Honda Civic",3100000,"2016"
"349","Honda Civic",2900000,"2016"
"350","Honda Fit",1350000,"2013"
"351","Toyota Wish",1600000,"2010"
"352","Nissan Note",1300000,"2013"
"353","Subaru G4",1700000,"2012"
"354",NA,NA,NA
"355","Honda Exl",2400000,"2015"
"356","Honda EX",2500000,"2015"
"357","Mazda Demio",1350000,"2013"
"358","Nissan Wagon",1100000,"2013"
"359","Toyota Vitz",1100000,"2012"
"360","Toyota Vitz",1150000,"2012"
"361","Honda Civic",3100000,"2016"
"362","Honda Accord",1850000,"2011"
"363","Honda Civic",2750000,"2016"
"364","Toyota mark11",250000,"1995"
"365",NA,NA,NA
"366","Honda Civic",2350000,"2015"
"367","Honda Civic",2400000,"2015"
"368","Toyota VOXY",2550000,"2012"
"369","Toyota ZIO",2300000,"2012"
"370","Audi SLINE",6800000,"2013"
"371","Nissan TEANA",2150000,"2012"
"372","Suzuki Swift",1550000,"2013"
"373","Honda Accord",3300000,"2013"
"374","Toyota Wish",2600000,"2013"
"375","Mazda Premacy",2150000,"2013"
"376",NA,NA,NA
"377","Freightliner Series",3450000,"2007"
"378","Nissan Note",580000,"2005"
"379","Mazda Premacy",1550000,"2011"
"380","Honda Civic",720000,"2000"
"381","Subaru G4",2700000,"2015"
"382","Nissan ADWagon",1200000,"2013"
"383","Toyota Prado",6700000,"2015"
"384","Subaru G4",1985000,"2013"
"385","Toyota Allion",2350000,"2013"
"386","Honda Accord",640000,"2004"
"387",NA,NA,NA
"388","Honda Accord",1500000,"2010"
"389","Honda Civic",630000,"2003"
"390","Nissan Note",1100000,"2012"
"391","Acura RSX",890000,"2003"
"392","Mitsubishi 8",1770000,"2003"
"393","Honda CRV",4580000,"2016"
"394","Honda Civic",450000,"2002"
"395","Suzuki Swift",1649000,"2014"
"396","Subaru Sport",2029000,"2014"
"397","Subaru Sport",1999000,"2014"
"398",NA,NA,NA
"399","Nissan Note",1200000,"2013"
"400","Mazda Demio",1150000,"2013"
"401","Toyota probox",1180000,"2013"
"402","Suzuki Alto",730000,"2013"
"403","Mazda Pickup",330000,"1993"
"404","Toyota X",3100000,"2014"
"405","Subaru Impreza",1800000,"2012"
"406","BMW series",5800000,"2014"
"407","Toyota MarkX",3300000,"2013"
"408","Toyota Allion",2400000,"2014"
"409",NA,NA,NA
"410","Honda CIVICX",330000,"1997"
"411","GMC Denali",2e+06,"2004"
"412","Suzuki Jimny",1e+06,"2008"
"413","Toyota SHAPE",2499999,"2015"
"414","Toyota Axio",1650000,"2012"
"415","Honda Accord",470000,"1997"
"416","Toyota carolla",3e+05,"2001"
"417","Toyota Corolla",160000,"1990"
"418","Honda Accord",1290000,"2007"
"419","Toyota X",1200000,"2008"
"420",NA,NA,NA
"421","Nissan s",1200000,"2012"
"422","Toyota Belta",1550000,"2012"
"423","Nissan Note",1370000,"2013"
"424","Toyota Vitz",1250000,"2012"
"425","Toyota Sienta",1650000,"2014"
"426","Hyundai Tucson",1650000,"2012"
"427","Honda ex",2900000,"2016"
"428","Ford SUPERCREW",1490000,"2005"
"429","Lexus IS250",1390000,"2006"
"430","Honda Crv",1800000,"2008"
"431",NA,NA,NA
"432","Nissan wagon",850000,"2012"
"433","Mercedes C250",3150000,"2012"
"434","BMW 530i",1500000,"2006"
"435","Honda Civic",2050000,"2014"
"436","Mazda 3",1400000,"2011"
"437","Jaguar XK8",1980000,"1997"
"438","Mini Countryman",2450000,"2012"
"439","BMW 35i",1.2e+07,"2016"
"440","Toyota VX",1480000,"2005"
"441","Volkswagen Jetta",2400000,"2015"
"442",NA,NA,NA
"443","Nissan Versa",1880000,"2015"
"444","Volkswagen Tiguan",2900000,"2015"
"445","Honda EP3",1080000,"2005"
"446","Honda LX",2999000,"2017"
"447","Ford XLT",5100000,"2016"
"448","Toyota Tacoma",4450000,"2013"
"449","Audi Q5",4500000,"2013"
"450","Toyota VX",1680000,"2004"
"451","Mazda Demio",1180000,"2012"
"452","Isuzu DMax",2950000,"2013"
"453",NA,NA,NA
"454","Honda Civic",580000,"2002"
"455","Mazda Premacy",7e+05,"2007"
"456","Mitsubishi Lancer",4e+05,"2003"
"457","Nissan Wingroad",550000,"2001"
"458","Honda crv",1e+06,"2006"
"459","Honda accord",650000,"2000"
"460","Subaru Sport",2100000,"2014"
"461","Nissan GT",4e+05,"1998"
"462","Toyota altezza",810000,"2000"
"463","Toyota Harrier",630000,"1998"
"464",NA,NA,NA
"465","Toyota Auris",1180000,"2009"
"466","Mazda Van",565000,"2006"
"467","Mazda Familia",625000,"2009"
"468","Toyota Levin",55000,"1998"
"469","Nissan Wagon",750000,"2011"
"470","Nissan Note",680000,"2008"
"471","Toyota x",2880000,"2013"
"472","Honda touring",2900000,"2011"
"473","Honda Civic",2500000,"2015"
"474","Honda Civic",2350000,"2015"
"475",NA,NA,NA
"476","Nissan pulsar",290000,"1998"
"477","Toyota X",2650000,"2012"
"478","Suzuki Grandvitara",920000,"2006"
"479","Hyundai Sonata",420000,"2003"
"480","Honda ODYSSEY",1090000,"2008"
"481","Honda ARIA",745000,"2007"
"482","BMW 3Series",450000,"1993"
"483","BMW X5",1100000,"2001"
"484","Toyota Axio",1200,"2008"
"485","Toyota X",2350000,"2012"
"486",NA,NA,NA
"487","Toyota Surf",885000,"2000"
"488","Mitsubishi Lancer",540000,"2006"
"489","Toyota s",2900000,"2015"
"490","Toyota Camry",330000,"1995"
"491","Subaru Impreza",1100000,"2009"
"492","Toyota Isis",850000,"2006"
"493","BMW 520d",3510000,"2012"
"494","Mercedes C300",8030000,"2016"
"495","Volkswagen Golf",2090000,"2013"
"496","Toyota X",2390000,"2011"
"497",NA,NA,NA
"498","BMW 118i",2950000,"2014"
"499","Subaru Legacy",1980000,"2011"
"500","BMW 316i",1050000,"2001"
"501","Toyota Belta",1200000,"2007"
"502","Suzuki Swift",1240000,"2012"
"503","Toyota Caldina",360000,"2002"
"504","Nissan Serena",1370000,"2010"
"505","Nissan March",790000,"2012"
"506","Honda City",3510000,"2017"
"507","Honda Civic",2290000,"2015"
"508",NA,NA,NA
"509","Toyota Ractis",1370000,"2012"
"510","Toyota Avensis",2140000,"2012"
"511","Honda Swift",1670000,"2015"
"512","Nissan 250GT",2950000,"2013"
"513","Nissan Wagon",560000,"2008"
"514","Suzuki Swift",1420000,"2013"
"515","Honda Accord",2950000,"2014"
"516","Nissan Pulsar",250000,"1998"
"517","Nissan Note",1730000,"2016"
"518","Honda Fit",2390000,"2017"
"519",NA,NA,NA
"520","Mercedes AMG",6430000,"2015"
"521","Toyota Corolla",520000,"1995"
"522","Honda CRV",1370000,"2005"
"523","Toyota Hiace",2390000,"2012"
"524","Suzuki Swift",159000,"2015"
"525","Honda Accord",795000,"2004"
"526","Toyota Axio",2060000,"2013"
"527","Nissan Note",550000,"2008"
"528","Toyota 2",370000,"1994"
"529","Toyota 4",7e+05,"2000"
"530",NA,NA,NA
"531","BMW Coupe",5630000,"2015"
"532","Mazda Demio",910000,"2011"
"533","Honda Sport",5930000,"2018"
"534","Audi Q5",7130000,"2016"
"535","Honda Civic",3e+06,"2016"
"536","Nissan Latio",1470000,"2012"
"537","Nissan Cube",480000,"2007"
"538","Toyota Wish",1060000,"2007"
"539","Nissan Teana",710000,"2004"
"540","Honda Ex",3100000,"2016"
"541",NA,NA,NA
"542","Suzuki Swift",1780000,"2015"
"543","Ford Focus",1680000,"2012"
"544","Nissan GTS",445000,"1990"
"545","Honda Ex",2080000,"2014"
"546","Honda Stream",850000,"2005"
"547","Honda Fit",1630000,"2013"
"548","Honda CL7",1460000,"2008"
"549","Honda CRV",1270000,"2005"
"550","Toyota Isis",1960000,"2012"
"551","Honda Fit",1270000,"2012"
"552",NA,NA,NA
"553","BMW 320i",1470000,"2008"
"554","Toyota Prius",2190000,"2014"
"555","Toyota PRADO",6800000,"2015"
"556","Subaru B4",3800000,"2015"
"557","Honda rs",5e+05,"1999"
"558","Toyota Kluger",855000,"2005"
"559","Suzuki Swift",970000,"2011"
"560","Nissan skyline",2450000,"2013"
"561","Honda Civic",1880000,"2012"
"562","Mitsubishi ASX",3300000,"2015"
"563",NA,NA,NA
"564","Toyota Ipsum",7e+05,"2002"
"565","Nissan Wingroad",9e+05,"2011"
"566","Nissan Note",1590000,"2015"
"567","Honda CRV",3150000,"2012"
"568","Nissan tiida",1050000,"2011"
"569","Suzuki swift",210000,"1993"
"570","Nissan Wingroad",1100000,"2012"
"571","Audi 18T",850000,"2003"
"572","Ford Explorer",3950000,"2013"
"573","Mazda 2WD",1900000,"2015"
"574",NA,NA,NA
"575","Toyota WHITE",2900000,"2014"
"576","Suzuki 600",5e+05,"2007"
"577","Jaguar XF",4400000,"2010"
"578","Honda Fit",1890,"2015"
"579","Suzuki VITARA",9e+05,"2006"
"580","Honda Accord",4280000,"2016"
"581","Honda Stream",1800000,"2010"
"582","Subaru WRX",1e+06,"2006"
"583","Nissan LAFESTA",1100000,"2011"
"584","Toyota Ace",2500000,"2012"
"585",NA,NA,NA
"586","Hyundai Accent",1200000,"2013"
"587","Infiniti 35",2165000,"2005"
"588","Toyota Prado",760000,"1996"
"589","Honda Accord",1350000,"2006"
"590","Honda Civic",845000,"2008"
"591","Honda Crv",920000,"2002"
"592","Nissan Slyphy",9e+05,"2006"
"593","Toyota Rav4",1100000,"2005"
"594","Toyota S",2500000,"2012"
"595","Subaru Legacy",960000,"2007"
"596",NA,NA,NA
"597","Toyota 4",3100000,"2013"
"598","Toyota Rav4",5200000,"2017"
"599","Toyota X",3200000,"2015"
"600","Toyota Auris",1400000,"2012"
"601","Toyota 110",270000,"2000"
"602","Freightliner International",2900000,"1987"
"603","Subaru XT",4200000,"2014"
"604","Volkswagen TSI",2250000,"2012"
"605","Mitsubishi Lancer",360000,"1994"
"606","Honda CRV",1150000,"2003"
"607",NA,NA,NA
"608","Honda civic",430000,"1996"
"609","Subaru forestor",720000,"2005"
"610","Toyota Townace",450000,"1997"
"611","Toyota Camry",120000,"1989"
"612","Toyota Vitz",790000,"2010"
"613","Nissan Syliphy",980000,"2010"
"614","Honda Stream",1900000,"2011"
"615","Toyota Vitz",1480000,"2011"
"616","Subaru Impreza",695000,"2006"
"617","Suzuki Swift",295000,"1995"
"618",NA,NA,NA
"619","Honda Fit",750000,"2007"
"620","Suzuki Vitara",1180000,"2007"
"621","Toyota LiteAce",1350000,"2012"
"622","Honda Fitaria",780000,"2007"
"623","Toyota Altis",985000,"2005"
"624","Toyota Feilder",750000,"2008"
"625","Toyota Suceed",1170000,"2012"
"626","Toyota Toyota",1e+05,"2008"
"627","Honda Fit",2450000,"2017"
"628","Toyota Camry",2200000,"2014"
"629",NA,NA,NA
"630","Toyota Camry",2200000,"2014"
"631","Nissan Note",990000,"2011"
"632","Mitsubishi Turbo",1200000,"2007"
"633","Honda Civic",850000,"2005"
"634","Nissan Tiida",1e+06,"2011"
"635","Nissan Wingroad",750000,"2007"
"636","Honda Crv",690000,"1998"
"637","Nissan Lafesta",1600000,"2012"
"638","Mazda Bongo",1490000,"2014"
"639","Suzuki swift",780000,"2008"
"640",NA,NA,NA
"641","Nissan Wagon",850001,"2011"
"642","Toyota Hiace",570000,"1999"
"643","Suzuki Swift",205000,"1993"
"644","Toyota Premio",960000,"2007"
"645","Nissan Sylphy",1130000,"2008"
"646","Mazda Premacy",685000,"2006"
"647","Nissan Tiida",815000,"2010"
"648","Nissan Bluebird",695000,"2006"
"649","Honda Inspire",1670000,"2008"
"650","Mitsubishi Mirage",980000,"2012"
"651",NA,NA,NA
"652","Nissan Frontier",2200000,"2012"
"653","Subaru G4",1800000,"2012"
"654","Audi A6",4500000,"2012"
"655","Nissan Sylphy",970000,"2007"
"656","BMW 320i",2190000,"2010"
"657","Honda Crv",1690000,"2007"
"658","Honda Crv",1700000,"2007"
"659","Honda Fit",595000,"2003"
"660","Suzuki Escuado",450000,"1995"
"661","Toyota Fielder",1450000,"2012"
"662",NA,NA,NA
"663","Nissan trail",1910000,"2012"
"664","Toyota Passo",330000,"2004"
"665","Subaru Impreza",1300000,"2011"
"666","Lexus Is300",980000,"2005"
"667","Nissan Sylphy",1850000,"2013"
"668","Mercedes class",3800000,"2013"
"669","Honda Odyssey",750000,"2002"
"670","Honda CIVIC",8e+05,"2002"
"671","Toyota Voxy",2300000,"2012"
"672","Mitsubishi montero",620000,"2001"
"673",NA,NA,NA
"674","Nissan wagon",990000,"2014"
"675","Toyota Vitz",1550000,"2013"
"676","Honda Stream",1290000,"2009"
"677","Toyota Camry",285000,"1994"
"678","Nissan March",6e+05,"2008"
"679","BMW 320I",2599000,"2011"
"680","Toyota Crown",2889000,"2012"
"681","Toyota Isis",2199000,"2014"
"682","Mitsubishi RVR",3089000,"2014"
"683","Toyota ZS",2600000,"2012"
"684",NA,NA,NA
"685","Nissan Latio",1259000,"2012"
"686","Toyota Crown",2699000,"2012"
"687","Nissan Note",1139000,"2012"
"688","Suzuki Swift",1259000,"2012"
"689","Nissan March",1459000,"2015"
"690","Nissan Caravan",1749000,"2012"
"691","Nissan Van",989000,"2012"
"692","Subaru Impreza",1659000,"2012"
"693","Subaru Exiga",1799000,"2012"
"694","Subaru G4",1699000,"2012"
"695",NA,NA,NA
"696","Nissan Star",1949000,"2014"
"697","Honda Odyssey",1995000,"2012"
"698","Toyota Isis",1699000,"2012"
"699","Subaru Sports",1949000,"2014"
"700","Subaru G4",2249000,"2015"
"701","Mazda Premacy",1899000,"2014"
"702","Mazda Premacy",1975000,"2015"
"703","BMW 325i",1290000,"2007"
"704","Honda Odyssey",1995000,"2012"
"705","Honda Stepwagon",2045000,"2012"
"706",NA,NA,NA
"707","Toyota Fielder",1599000,"2012"
"708","Toyota Sienta",1300000,"2012"
"709","Nissan Serena",1959000,"2013"
"710","Toyota Hiace",2300000,"2012"
"711","Toyota yaris",1490000,"2013"
"712","Honda INTEGRA",470000,"1999"
"713","Toyota Noah",2700000,"2012"
"714","Toyota Axio",1750000,"2013"
"715","Toyota Probox",1250000,"2013"
"716","Honda TORNEO",490000,"1998"
"717",NA,NA,NA
"718","Honda Civic",620000,"2002"
"719","Toyota FORTUNER",1700000,"2006"
"720","Mitsubishi Lancer",4e+05,"1998"
"721","Lexus 250",1750000,"2008"
"722","Suzuki swift",710000,"2008"
"723","Nissan Xtrail",1200000,"2009"
"724","Daihatsu mira",350000,"2010"
"725","Toyota Sedan",5e+05,"1994"
